"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"神奈川県","藤沢市","獺郷","","1326","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1328","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1329","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1330","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1331","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1332","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1333","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1334","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1335","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","宮原","","1708","9","-66577.9","-39120.1","35.39912","139.402656","0","1","0","0"
"神奈川県","藤沢市","宮原","","1709","9","-66577.9","-39120.1","35.39912","139.402656","0","1","0","0"
"神奈川県","藤沢市","宮原","","1715","9","-66577.9","-39120.1","35.39912","139.402656","0","1","0","0"
"神奈川県","藤沢市","宮原","","1725","9","-66577.9","-39120.1","35.39912","139.402656","0","1","0","0"
"神奈川県","藤沢市","宮原","","1726","9","-66577.9","-39120.1","35.39912","139.402656","0","1","0","0"
"神奈川県","藤沢市","宮原","","1734","9","-66577.9","-39120.1","35.39912","139.402656","0","1","0","0"
